location,total_sqft,bath,bhk
Electronic City,1360.0,2.0,3
Electronic City,635.0,1.0,1
Electronic City,1128.0,2.0,2
Electronic City,890.0,2.0,2
Electronic City,1360.0,2.0,3
Electronic City,630.0,1.0,1
Electronic City,1400.0,3.0,3
Electronic City,1287.0,3.0,3
Electronic City,1258.0,2.0,2
Electronic City,1386.0,2.0,2
Electronic City,550.0,1.0,1
Electronic City,1025.0,2.0,2
Electronic City,1070.0,2.0,2
Electronic City,1342.0,2.0,2
Electronic City,1275.0,3.0,3
Electronic City,770.0,1.0,2
Electronic City,1644.0,3.0,3
Electronic City,1250.0,2.0,2
Electronic City,418.0,1.0,1
Electronic City,1128.0,2.0,2
Electronic City,1060.0,2.0,2
Electronic City,710.0,1.0,1
Electronic City,1275.0,3.0,3
Electronic City,1518.0,3.0,3
Electronic City,1090.0,2.0,1
Electronic City,1060.0,2.0,2
Electronic City,1353.0,2.0,2
Electronic City,1128.0,2.0,2
Electronic City,1070.0,2.0,2
Electronic City,1700.0,3.0,3
Electronic City,750.0,1.0,1
Electronic City,1210.0,2.0,2
Electronic City,1070.0,2.0,2
Electronic City,1615.0,3.0,3
Electronic City,1221.0,2.0,2
Electronic City,1500.0,3.0,3
Electronic City,995.0,2.0,2
Electronic City,1342.0,2.0,2
Electronic City,1128.0,2.0,2
Electronic City,589.0,1.0,1
Electronic City,1575.0,3.0,3
Electronic City,1070.0,2.0,2
Electronic City,1025.0,2.0,2
Electronic City,1500.0,2.0,3
Electronic City,1500.0,2.0,3
Electronic City,2093.0,4.0,4
Electronic City,1355.0,2.0,2
Electronic City,1360.0,2.0,3
Electronic City,1060.0,2.0,2
Electronic City Phase II,1056.0,2.0,2
Electronic City Phase II,1020.0,2.0,2
Electronic City Phase II,1069.0,2.0,2
Electronic City Phase II,630.0,1.0,1
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,1090.0,2.0,2
Electronic City Phase II,2225.0,4.0,4
Electronic City Phase II,775.0,2.0,2
Electronic City Phase II,1266.0,2.0,2
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,972.0,2.0,2
Electronic City Phase II,1031.0,2.0,2
Electronic City Phase II,1003.0,2.0,2
Electronic City Phase II,1031.0,2.0,2
Electronic City Phase II,1395.0,2.0,3
Electronic City Phase II,1160.0,2.0,2
Electronic City Phase II,1065.0,2.0,2
Electronic City Phase II,1219.0,2.0,2
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,1790.0,3.0,3
Electronic City Phase II,769.0,2.0,2
Electronic City Phase II,900.0,2.0,2
Electronic City Phase II,993.0,2.0,3
Electronic City Phase II,1418.0,3.0,3
Electronic City Phase II,1070.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,1089.0,2.0,2
Electronic City Phase II,1031.0,2.0,2
Electronic City Phase II,1253.0,2.0,2
Electronic City Phase II,1160.0,2.0,2
Electronic City Phase II,975.0,2.0,3
Electronic City Phase II,6000.0,4.0,4
Electronic City Phase II,1116.0,2.0,2
Electronic City Phase II,1125.0,2.0,2
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,1165.0,2.0,2
Electronic City Phase II,1031.0,2.0,2
Electronic City Phase II,1065.0,2.0,2
Electronic City Phase II,1549.0,3.0,3
Electronic City Phase II,1065.0,2.0,2
Electronic City Phase II,920.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,1219.0,2.0,2
Electronic City Phase II,1252.0,2.0,3
Electronic City Phase II,1125.0,2.0,2
Electronic City Phase II,1286.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,1116.0,2.0,2
Electronic City Phase II,1150.0,3.0,3
Electronic City Phase II,1192.0,2.0,3
Electronic City Phase II,1020.0,2.0,2
Electronic City Phase II,1900.0,3.0,4
Electronic City Phase II,1020.0,2.0,2
Electronic City Phase II,1025.0,2.0,2
Electronic City Phase II,1020.0,2.0,2
Electronic City Phase II,1000.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,1125.0,2.0,2
Electronic City Phase II,1200.0,2.0,2
Electronic City Phase II,1160.0,2.0,2
Electronic City Phase II,1244.0,2.0,2
Electronic City Phase II,1160.0,2.0,2
Electronic City Phase II,972.0,2.0,2
Electronic City Phase II,1160.0,2.0,2
Electronic City Phase II,1090.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,650.0,1.0,1
Electronic City Phase II,1155.0,2.0,2
Electronic City Phase II,1800.0,3.0,3
Electronic City Phase II,1300.0,2.0,2
Electronic City Phase II,1160.0,2.0,2
Electronic City Phase II,1025.0,2.0,2
Electronic City Phase II,829.0,2.0,2
Electronic City Phase II,2187.5,4.0,4
Electronic City Phase II,1252.0,2.0,2
Electronic City Phase II,1125.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,1252.0,2.0,3
Electronic City Phase II,1135.0,2.0,2
Electronic City Phase II,1305.0,3.0,3
Electronic City Phase II,1165.0,2.0,2
Electronic City Phase II,1336.0,2.0,3
Electronic City Phase II,575.0,1.0,1
Electronic City Phase II,925.0,2.0,3
Electronic City Phase II,1065.0,2.0,2
Electronic City Phase II,1065.0,2.0,2
Electronic City Phase II,1140.0,2.0,2
Electronic City Phase II,911.0,2.0,2
Electronic City Phase II,1200.0,2.0,2
Electronic City Phase II,1031.0,2.0,2
Electronics City Phase 1,1475.0,3.0,3
Electronics City Phase 1,1490.0,3.0,3
Electronics City Phase 1,1113.27,2.0,2
Electronics City Phase 1,1490.0,3.0,3
Electronics City Phase 1,1015.0,2.0,2
Electronics City Phase 1,1515.0,2.0,3
Electronics City Phase 1,995.0,2.0,2
Electronics City Phase 1,1555.0,2.0,3
Electronics City Phase 1,1340.0,2.0,2
Electronics City Phase 1,1124.0,2.0,3
Electronics City Phase 1,1175.0,2.0,2
Electronics City Phase 1,755.0,1.0,1
Electronics City Phase 1,580.0,1.0,1
Electronics City Phase 1,940.0,2.0,2
Electronics City Phase 1,1335.0,2.0,2
Electronics City Phase 1,1113.12,2.0,2
Electronics City Phase 1,1350.0,3.0,3
Electronics City Phase 1,995.0,2.0,2
Electronics City Phase 1,635.0,1.0,1
Electronics City Phase 1,1190.0,2.0,2
Electronics City Phase 1,1450.0,3.0,3
Electronics City Phase 1,360.0,1.0,1
Electronics City Phase 1,638.0,1.0,1
Electronics City Phase 1,1175.0,2.0,2
Electronics City Phase 1,585.0,1.0,1
Electronics City Phase 1,1200.0,2.0,2
Electronics City Phase 1,1145.0,2.0,2
Electronics City Phase 1,1125.0,2.0,2
Electronics City Phase 1,1550.0,2.0,3
Electronics City Phase 1,865.0,2.0,2
Electronics City Phase 1,1800.0,3.0,3
Electronics City Phase 1,1314.0,2.0,2
Electronics City Phase 1,1170.0,2.0,2
Electronics City Phase 1,1450.0,3.0,3
Electronics City Phase 1,940.0,2.0,2
Electronics City Phase 1,940.0,2.0,2
Electronics City Phase 1,1300.0,2.0,2
Electronics City Phase 1,1028.0,2.0,2
Electronics City Phase 1,1205.0,2.0,2
Electronics City Phase 1,1305.0,2.0,2
Electronics City Phase 1,755.0,1.0,1
Electronics City Phase 1,1175.0,2.0,2
Frazer Town,1700.0,3.0,3
Frazer Town,1305.0,3.0,3
Frazer Town,1870.0,3.0,3
Frazer Town,1750.0,3.0,3
Frazer Town,2000.0,3.0,3
Frazer Town,3500.0,4.0,3
Frazer Town,2350.0,4.0,3
Frazer Town,1550.0,2.0,2
Frazer Town,1900.0,4.0,3
Frazer Town,2560.0,3.0,3
Frazer Town,2400.0,3.0,3
Frazer Town,2560.0,3.0,3
Frazer Town,3436.0,5.0,4
Frazer Town,1315.0,2.0,2
Frazer Town,1706.0,3.0,3
Frazer Town,2079.0,3.0,3
Frazer Town,3435.0,2.0,4
Frazer Town,3436.0,5.0,4
Frazer Town,3100.0,3.0,3
Frazer Town,5400.0,3.0,3
Frazer Town,1180.0,2.0,2
Frazer Town,2900.0,4.0,4
Frazer Town,1870.0,3.0,3
Frazer Town,896.0,1.0,1
Frazer Town,1420.0,2.0,2
GM Palaya,1820.0,2.0,3
GM Palaya,1225.0,2.0,2
GM Palaya,1140.0,2.0,2
GM Palaya,1315.0,2.0,3
GM Palaya,1315.0,3.0,3
GM Palaya,1315.0,3.0,3
GM Palaya,1735.0,3.0,3
GM Palaya,1643.0,2.0,3
Garudachar Palya,1325.0,2.0,3
Garudachar Palya,1060.0,2.0,2
Garudachar Palya,1150.0,2.0,2
Garudachar Palya,1295.0,2.0,3
Garudachar Palya,1320.0,2.0,3
Garudachar Palya,1295.0,2.0,3
Garudachar Palya,1150.0,2.0,2
Garudachar Palya,1150.0,2.0,2
Garudachar Palya,1060.0,2.0,2
Garudachar Palya,1150.0,2.0,2
Garudachar Palya,1325.0,2.0,3
Garudachar Palya,1060.0,2.0,2
Garudachar Palya,1150.0,2.0,2
Garudachar Palya,1154.0,2.0,2
Giri Nagar,2400.0,4.0,4
Giri Nagar,1800.0,3.0,3
Giri Nagar,1350.0,3.0,3
Giri Nagar,2400.0,4.0,4
Giri Nagar,3000.0,4.0,6
Giri Nagar,2400.0,6.0,6
Giri Nagar,4000.0,3.0,4
Gollarapalya Hosahalli,861.0,2.0,2
Gollarapalya Hosahalli,1408.0,3.0,3
Gollarapalya Hosahalli,861.0,2.0,2
Gollarapalya Hosahalli,1318.0,3.0,3
Gollarapalya Hosahalli,861.0,2.0,2
Gollarapalya Hosahalli,1320.0,3.0,3
Gollarapalya Hosahalli,1345.0,3.0,3
Gollarapalya Hosahalli,1905.0,3.0,4
Gollarapalya Hosahalli,1318.0,3.0,3
Gollarapalya Hosahalli,1129.0,2.0,2
Gottigere,1100.0,2.0,2
Gottigere,967.0,2.0,2
Gottigere,1618.0,3.0,3
Gottigere,1222.0,2.0,2
Gottigere,1300.0,3.0,3
Gottigere,950.0,2.0,2
Gottigere,1153.0,2.0,2
Gottigere,812.0,1.0,1
Gottigere,1460.0,2.0,3
Gottigere,1500.0,3.0,3
Gottigere,1621.0,3.0,3
Gottigere,812.0,1.0,1
Gottigere,990.0,2.0,2
Gottigere,1235.0,2.0,2
Gottigere,1385.0,3.0,3
Gottigere,1000.0,2.0,2
Gottigere,1010.0,2.0,2
Gottigere,1435.0,2.0,3
Gottigere,945.0,2.0,2
Gottigere,2500.0,3.0,4
Gottigere,1230.0,2.0,3
Gottigere,1120.0,2.0,2
Gottigere,1500.0,3.0,3
Gottigere,1200.0,2.0,2
Gottigere,1280.0,2.0,2
Gottigere,1205.0,2.0,2
Gottigere,1170.0,2.0,2
Gottigere,3000.0,3.0,4
Gottigere,1613.0,3.0,3
Gottigere,1110.0,2.0,2
Gottigere,1245.0,2.0,2
Gottigere,1200.0,2.0,2
Green Glen Layout,1670.0,3.0,3
Green Glen Layout,3250.0,4.0,4
Green Glen Layout,1776.42,3.0,3
Green Glen Layout,3250.0,4.0,4
Green Glen Layout,940.0,2.0,2
Green Glen Layout,1075.0,2.0,2
Green Glen Layout,1715.0,3.0,3
Green Glen Layout,1751.0,2.0,3
Green Glen Layout,1750.0,3.0,3
Green Glen Layout,1530.0,3.0,3
Green Glen Layout,1752.0,3.0,3
Green Glen Layout,1680.0,4.0,3
Green Glen Layout,1728.0,3.0,3
Green Glen Layout,1645.0,3.0,3
Green Glen Layout,1517.0,3.0,3
Green Glen Layout,3150.0,4.0,4
Green Glen Layout,1750.0,3.0,3
Green Glen Layout,1751.0,3.0,3
Green Glen Layout,1750.0,3.0,3
Green Glen Layout,1885.0,3.0,3
Green Glen Layout,1715.0,3.0,3
Green Glen Layout,1623.29,2.0,3
Green Glen Layout,1715.0,3.0,3
Green Glen Layout,1715.0,3.0,3
Green Glen Layout,1600.0,3.0,3
Green Glen Layout,1717.0,3.0,3
Green Glen Layout,1250.0,2.0,2
Green Glen Layout,1715.0,3.0,3
Gubbalala,1470.0,2.0,3
Gubbalala,1745.0,3.0,3
Gubbalala,1745.0,3.0,3
Gubbalala,1745.0,3.0,3
Gubbalala,1650.0,3.0,3
Gubbalala,2570.0,4.0,5
Gubbalala,1205.0,2.0,2
Gubbalala,1435.0,2.0,3
Gubbalala,1475.0,2.0,2
Gubbalala,1100.0,2.0,2
Gubbalala,1060.0,2.0,2
Gubbalala,2000.0,3.0,3
Gunjur,1140.0,2.0,2
Gunjur,1356.0,2.0,3
Gunjur,1600.0,3.0,3
Gunjur,2000.0,3.0,4
Gunjur,1140.0,2.0,2
Gunjur,1195.0,2.0,2
Gunjur,1190.0,2.0,2
Gunjur,1457.0,2.0,2
Gunjur,1080.0,2.0,2
Gunjur,1175.0,2.0,2
Gunjur,1362.0,3.0,3
Gunjur,1071.0,2.0,2
Gunjur,1063.0,2.0,2
Gunjur,1235.0,2.0,2
Gunjur,1362.0,3.0,3
Gunjur,1362.0,3.0,3
Gunjur,1588.0,2.0,3
Gunjur,1235.0,2.0,2
Gunjur,1457.0,2.0,2
HAL 2nd Stage,1490.0,2.0,3
HAL 2nd Stage,600.0,3.0,2
HAL 2nd Stage,2700.0,3.0,3
HAL 2nd Stage,2040.0,4.0,5
HBR Layout,2800.0,2.0,3
HBR Layout,1722.0,3.0,3
HBR Layout,1200.0,4.0,4
HBR Layout,1200.0,2.0,2
HBR Layout,1004.0,2.0,2
HBR Layout,1783.0,3.0,3
HBR Layout,1656.0,3.0,3
HBR Layout,1089.0,2.0,2
HBR Layout,1700.0,3.0,3
HBR Layout,1198.0,2.0,2
HBR Layout,1200.0,4.0,4
HBR Layout,1200.0,2.0,2
HBR Layout,1832.0,3.0,3
HRBR Layout,1374.0,2.0,2
HRBR Layout,1440.0,2.0,2
HRBR Layout,2800.0,3.0,3
HRBR Layout,1210.0,2.0,2
HRBR Layout,1265.0,2.0,2
HRBR Layout,1170.0,2.0,2
HRBR Layout,1900.0,3.0,4
HRBR Layout,1625.0,3.0,3
HRBR Layout,1301.0,2.0,2
HRBR Layout,1145.0,2.0,2
HRBR Layout,1300.0,2.0,2
HSR Layout,1372.0,2.0,2
HSR Layout,1475.0,3.0,3
HSR Layout,1467.0,2.0,2
HSR Layout,1140.0,2.0,2
HSR Layout,1372.0,2.0,2
HSR Layout,1750.0,3.0,3
HSR Layout,1027.0,2.0,2
HSR Layout,1650.0,3.0,3
HSR Layout,1140.0,2.0,2
HSR Layout,1372.0,2.0,2
HSR Layout,1140.0,2.0,2
HSR Layout,1185.0,2.0,2
HSR Layout,1127.0,2.0,2
HSR Layout,1600.0,2.0,3
HSR Layout,1145.0,2.0,2
HSR Layout,1009.0,2.0,2
HSR Layout,1300.0,2.0,2
HSR Layout,1140.0,2.0,2
HSR Layout,1126.0,2.0,2
HSR Layout,1140.0,2.0,2
HSR Layout,1145.0,2.0,2
HSR Layout,1142.0,2.0,2
HSR Layout,1145.0,2.0,2
HSR Layout,1844.0,3.0,3
HSR Layout,1203.0,2.0,2
HSR Layout,1140.0,2.0,2
HSR Layout,4200.0,5.0,5
HSR Layout,1140.0,2.0,2
HSR Layout,1145.0,2.0,2
HSR Layout,1009.0,2.0,2
HSR Layout,1145.0,2.0,2
HSR Layout,1100.0,2.0,2
HSR Layout,1203.0,2.0,2
HSR Layout,1120.0,2.0,2
HSR Layout,1140.0,2.0,2
HSR Layout,1289.0,2.0,2
HSR Layout,1844.0,3.0,3
HSR Layout,1203.0,2.0,2
HSR Layout,1140.0,2.0,2
Haralur Road,1240.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,2650.0,4.0,4
Haralur Road,1194.0,2.0,2
Haralur Road,1202.0,2.0,2
Haralur Road,1056.0,2.0,2
Haralur Road,1810.0,3.0,3
Haralur Road,1194.0,2.0,2
Haralur Road,1225.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,1920.0,3.0,3
Haralur Road,1875.0,3.0,3
Haralur Road,1194.0,2.0,2
Haralur Road,1140.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,2017.0,3.0,3
Haralur Road,1140.0,2.0,2
Haralur Road,1875.0,3.0,3
Haralur Road,1092.0,2.0,2
Haralur Road,2475.0,4.0,3
Haralur Road,1300.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1850.0,3.0,3
Haralur Road,1225.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,3400.0,5.0,4
Haralur Road,1464.0,2.0,2
Haralur Road,1230.0,2.0,2
Haralur Road,1000.0,2.0,2
Haralur Road,1300.0,2.0,2
Haralur Road,1444.0,2.0,3
Haralur Road,1088.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,1225.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1830.0,3.0,3
Haralur Road,1810.0,3.0,3
Haralur Road,1464.0,2.0,2
Haralur Road,1520.0,2.0,3
Haralur Road,1300.0,2.0,2
Haralur Road,2017.0,2.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,2805.0,5.0,4
Haralur Road,1243.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,2017.0,3.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1520.0,2.0,3
Haralur Road,1300.0,2.0,2
Haralur Road,1985.0,3.0,3
Haralur Road,1255.0,2.0,3
Haralur Road,1056.0,2.0,2
Haralur Road,1140.0,2.0,2
Haralur Road,1245.0,2.0,2
Haralur Road,1140.0,2.0,2
Haralur Road,1140.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1560.0,3.0,3
Haralur Road,1520.0,2.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,1027.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1650.0,3.0,3
Haralur Road,1580.0,3.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1520.0,2.0,3
Haralur Road,1510.0,3.0,3
Haralur Road,1056.0,2.0,2
Haralur Road,1810.0,3.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,575.0,1.0,1
Haralur Road,1194.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1140.0,2.0,2
Haralur Road,1850.0,3.0,3
Haralur Road,1194.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1710.0,3.0,3
Haralur Road,1730.0,3.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1817.0,3.0,3
Haralur Road,1225.0,2.0,2
Haralur Road,1285.0,2.0,2
Haralur Road,1225.0,2.0,2
Haralur Road,1225.0,2.0,2
Haralur Road,1200.0,2.0,2
Haralur Road,1315.0,2.0,2
Haralur Road,1976.0,3.0,3
Haralur Road,1300.0,2.0,2
Haralur Road,1309.0,2.0,2
Haralur Road,1027.0,1.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1140.0,2.0,2
Haralur Road,1300.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1890.0,3.0,3
Haralur Road,1230.0,2.0,2
Haralur Road,1194.0,2.0,2
Haralur Road,1092.0,2.0,2
Haralur Road,1255.0,3.0,3
Haralur Road,1735.0,3.0,3
Haralur Road,1810.0,3.0,3
Haralur Road,1200.0,2.0,2
Haralur Road,1243.0,2.0,2
Haralur Road,1810.0,3.0,3
Harlur,1508.0,2.0,2
Harlur,1752.12,3.0,3
Harlur,1709.0,3.0,3
Harlur,1174.0,2.0,2
Harlur,1033.0,2.0,2
Harlur,1197.0,2.0,2
Harlur,1757.0,3.0,3
Harlur,1174.0,2.0,2
Harlur,1754.0,3.0,3
Harlur,1290.0,2.0,2
Harlur,1752.12,3.0,3
Harlur,1754.0,3.0,3
Harlur,1754.0,3.0,3
Harlur,1152.0,2.0,2
Harlur,1290.0,2.0,2
Harlur,1749.0,3.0,3
Harlur,3385.0,4.0,4
Harlur,1758.0,3.0,3
Harlur,1197.0,2.0,2
Harlur,1174.0,2.0,2
Harlur,1200.0,2.0,2
Harlur,1197.0,2.0,2
Harlur,1749.0,3.0,3
Harlur,1174.0,2.0,2
Harlur,1750.0,3.0,3
Harlur,1620.0,3.0,3
Harlur,1762.0,3.0,3
Harlur,1756.0,3.0,3
Harlur,1755.0,3.0,3
Harlur,1864.0,3.0,3
Harlur,1331.0,2.0,2
Harlur,1752.12,3.0,3
Harlur,1133.0,2.0,2
Harlur,1756.0,3.0,3
Harlur,1749.0,3.0,3
Harlur,1197.0,2.0,2
Harlur,1303.0,2.0,2
Harlur,1754.0,3.0,3
Harlur,1174.0,2.0,2
Harlur,1756.0,3.0,3
Harlur,1197.0,2.0,2
Harlur,1290.0,2.0,2
Harlur,1386.0,2.0,2
Harlur,1174.0,2.0,2
Harlur,1174.0,2.0,2
Harlur,1755.0,3.0,3
Harlur,2569.0,4.0,4
Harlur,1197.0,2.0,2
Harlur,1752.12,3.0,3
Harlur,2569.0,5.0,4
Harlur,1225.0,2.0,2
Harlur,1197.0,2.0,2
Harlur,1197.0,2.0,2
Harlur,1755.0,3.0,3
Harlur,1197.0,2.0,2
Harlur,936.0,2.0,2
Harlur,2990.0,4.0,4
Harlur,1370.0,2.0,2
Harlur,1335.0,2.0,2
Hebbal,1760.0,2.0,3
Hebbal,5611.5,4.0,4
Hebbal,1349.0,2.0,2
Hebbal,2483.0,5.0,4
Hebbal,1760.0,2.0,3
Hebbal,1920.0,3.0,3
Hebbal,1337.0,2.0,2
Hebbal,1349.0,2.0,2
Hebbal,1790.0,3.0,3
Hebbal,687.325,2.0,2
Hebbal,2790.0,5.0,4
Hebbal,1985.0,4.0,3
Hebbal,2483.0,5.0,4
Hebbal,1080.0,2.0,2
Hebbal,812.0,2.0,2
Hebbal,2790.0,4.0,4
Hebbal,1075.0,2.0,2
Hebbal,3067.0,4.0,4
Hebbal,2526.0,2.0,3
Hebbal,3067.0,4.0,4
Hebbal,823.0,2.0,2
Hebbal,1420.0,2.0,2
Hebbal,1420.0,2.0,2
Hebbal,4235.0,4.0,4
Hebbal,1700.0,3.0,3
Hebbal,3960.0,5.0,4
Hebbal,1420.0,2.0,2
Hebbal,1440.0,2.0,2
Hebbal,1100.0,2.0,2
Hebbal,2400.0,4.0,3
Hebbal,1420.0,2.0,2
Hebbal,1320.0,2.0,2
Hebbal,919.0,2.0,2
Hebbal,1645.0,3.0,3
Hebbal,2080.0,3.0,3
Hebbal,2483.0,5.0,4
Hebbal,2600.0,3.0,3
Hebbal,1645.0,3.0,3
Hebbal,1251.0,2.0,2
Hebbal,1645.0,3.0,3
Hebbal,1760.0,3.0,3
Hebbal,2790.0,4.0,4
Hebbal,3960.0,5.0,4
Hebbal,1645.0,3.0,3
Hebbal,1255.0,2.0,3
Hebbal,1645.0,3.0,3
Hebbal,1636.0,3.0,3
Hebbal,1255.0,2.0,3
Hebbal,2790.0,4.0,4
Hebbal,1255.0,2.0,3
Hebbal,1088.0,2.0,2
Hebbal,1349.0,2.0,2
Hebbal,1344.0,2.0,2
Hebbal,1255.0,2.0,3
Hebbal,1138.0,2.0,2
Hebbal,2790.0,5.0,4
Hebbal,1088.0,2.0,2
Hebbal,1987.0,4.0,3
Hebbal,2790.0,5.0,4
Hebbal,1299.0,2.0,2
Hebbal,1200.0,2.0,2
Hebbal,1645.0,3.0,3
Hebbal,1390.0,2.0,2
Hebbal,1333.0,2.0,2
Hebbal,2650.0,4.0,3
Hebbal,1800.0,3.0,3
Hebbal,2470.0,4.0,4
Hebbal,1255.0,2.0,3
Hebbal,1333.0,2.0,2
Hebbal,1645.0,3.0,3
Hebbal,2600.0,3.0,3
Hebbal,1345.0,2.0,2
Hebbal,985.0,2.0,2
Hebbal,1320.0,2.0,2
Hebbal,2388.0,3.0,3
Hebbal,1040.0,2.0,2
Hebbal,2600.0,3.0,3
Hebbal,1075.0,2.0,2
Hebbal,2630.0,5.0,4
Hebbal,2790.0,5.0,4
Hebbal,1645.0,3.0,3
Hebbal,1420.0,2.0,2
Hebbal,1162.0,2.0,2
Hebbal,1100.0,2.0,2
Hebbal,4235.0,5.0,4
Hebbal,1299.0,2.0,2
Hebbal,2470.0,5.0,4
Hebbal,1645.0,3.0,3
Hebbal,1920.0,3.0,3
Hebbal,1920.0,3.0,3
Hebbal,2375.0,4.0,4
Hebbal,1420.0,2.0,2
Hebbal,1252.0,2.0,2
Hebbal,2790.0,4.0,4
Hebbal,1162.0,2.0,2
Hebbal,1294.0,2.0,2
Hebbal,1150.0,2.0,2
Hebbal,1740.0,2.0,3
Hebbal,1662.0,3.0,3
Hebbal,2250.0,3.0,3
Hebbal,1349.0,2.0,2
Hebbal,1349.0,2.0,2
Hebbal Kempapura,1700.0,3.0,3
Hebbal Kempapura,1800.0,3.0,3
Hebbal Kempapura,2900.0,4.0,3
Hebbal Kempapura,3522.0,3.0,3
Hebbal Kempapura,2280.0,5.0,5
Hebbal Kempapura,1200.0,2.0,2
Hebbal Kempapura,2900.0,4.0,3
Hebbal Kempapura,1300.0,2.0,2
Hebbal Kempapura,1466.0,2.0,3
Hebbal Kempapura,1725.0,2.0,3
Hebbal Kempapura,1200.0,3.0,3
Hebbal Kempapura,3408.0,3.0,3
Hebbal Kempapura,1485.0,3.0,2
Hebbal Kempapura,1400.0,2.0,2
Hebbal Kempapura,1800.0,3.0,3
Hebbal Kempapura,2400.0,5.0,5
Hebbal Kempapura,2800.0,5.0,5
Hebbal Kempapura,1785.0,3.0,3
Hebbal Kempapura,3729.0,4.0,4
Hebbal Kempapura,1600.0,3.0,3
Hebbal Kempapura,1730.0,3.0,3
Hegde Nagar,1569.0,3.0,3
Hegde Nagar,3000.0,7.0,6
Hegde Nagar,2026.0,3.0,3
Hegde Nagar,1801.0,3.0,3
Hegde Nagar,1050.0,1.0,2
Hegde Nagar,1341.0,2.0,2
Hegde Nagar,2112.95,4.0,3
Hegde Nagar,1200.0,4.0,4
Hegde Nagar,1703.0,3.0,3
Hegde Nagar,1570.0,3.0,3
Hegde Nagar,1801.0,3.0,3
Hegde Nagar,1584.01,3.0,3
Hegde Nagar,1965.0,4.0,3
Hegde Nagar,1200.0,2.0,2
Hegde Nagar,1847.0,3.0,3
Hegde Nagar,1965.0,4.0,3
Hegde Nagar,1703.0,3.0,3
Hegde Nagar,1847.0,3.0,3
Hegde Nagar,2144.6,4.0,3
Hegde Nagar,1718.0,3.0,3
Hegde Nagar,1847.0,3.0,3
Hegde Nagar,1340.0,2.0,2
Hegde Nagar,2087.01,3.0,3
Hegde Nagar,1703.0,3.0,3
Hegde Nagar,2087.01,4.0,3
Hegde Nagar,1718.0,3.0,3
Hegde Nagar,1884.0,4.0,3
Hegde Nagar,1930.0,4.0,3
Hegde Nagar,1584.01,3.0,3
Hegde Nagar,1168.0,2.0,3
Hegde Nagar,2162.03,4.0,3
Hegde Nagar,2087.01,4.0,3
Hegde Nagar,1000.0,2.0,2
Hegde Nagar,1348.0,2.0,3
Hennur,1075.0,2.0,2
Hennur,1255.0,2.0,2
Hennur,1225.0,2.0,2
Hennur,1255.0,2.0,2
Hennur,1259.0,2.0,2
Hennur,1255.0,2.0,2
Hennur,1285.0,2.0,2
Hennur,1285.0,2.0,2
Hennur,1100.0,2.0,2
Hennur,1231.0,2.0,2
Hennur,1255.0,2.0,2
Hennur,1040.0,2.0,2
Hennur,1255.0,2.0,2
Hennur,1041.0,2.0,2
Hennur,1255.0,2.0,2
Hennur,1231.0,2.0,2
Hennur,2500.0,5.0,5
